thread_id,sample_idx,m,lambda,collisions,p_value,first_vals,first_spacings,spacing_freq_sample
0,1,128,0.0001220703125,0,0.00024412572444520997,83192061|127119708|153979923|180851320|221614317|238441874|244815713|249596074|293856875|453922480|503478664|515409566|521161763|529817289|585178682|727470204,43927647|26860215|26871397|40762997|16827557|6373839|4780361|44260801|160065605|49556184|11930902|5752197|8655526|55361393|142291522|41285469,17959607:1|29487924:1|38415833:1|68291934:1|51510990:1|58402925:1|16958994:1|11284552:1|24709980:1|2891659:1|101688030:1|27823269:1|17321748:1|15192907:1|60069845:1|7325212:1|14604059:1|12641731:1|17234090:1|3072401:1|10921473:1|50537492:1|8655526:1|35803483:1|57774987:1|97521760:1|16827557:1|43927647:1|3686130:1|16053900:1|154937984:1|10058757:1
0,1,128,0.0001220703125,0,0.00024412572444520997,82281511|96618012|160714804|172335066|197733942|202847047|217711212|219117256|226132706|260466814|268810599|351242485|404430752|516184234|566033665|635973676,14336501|64096792|11620262|25398876|5113105|14864165|1406044|7015450|34334108|8343785|82431886|53188267|111753482|49849431|69940011|4224755,10568945:1|35933432:1|52082158:1|60898243:1|29536120:1|70930142:1|11345586:1|11454028:1|8439926:1|101772573:1|53750520:1|4224755:1|75829892:1|34334108:1|43690656:1|10215662:1|1406044:1|9190313:1|12454482:1|24963166:1|96374881:1|18842282:1|14336501:1|129615605:1|7900651:1|10107804:1|21909760:1|21676195:1|78714896:1|150737170:1|35729116:1|25398876:1
0,1,128,0.0001220703125,0,0.00024412572444520997,3359535|5181228|78847389|94886336|149692433|175565790|239557455|294830588|299240784|302286776|315824040|320526601|336792403|366849072|410958305|421131816,1821693|73666161|16038947|54806097|25873357|63991665|55273133|4410196|3045992|13537264|4702561|16265802|30056669|44109233|10173511|14521803,17722689:1|13054092:1|59113:1|5031438:1|14310885:1|49370424:1|78554843:1|36806122:1|13983174:1|77161785:1|7908495:1|77694915:1|4410196:1|2083239:1|4702561:1|3403190:1|16038947:1|35266530:1|46605543:1|68178351:1|70779374:1|2588532:1|83236543:1|73686820:1|14752856:1|36111159:1|34049177:1|3459015:1|36099898:1|71353792:1|13372309:1|20145652:1
0,1,128,0.0001220703125,0,0.00024412572444520997,6162471|15039436|27337689|85777809|127466382|134710571|165024466|221933642|284028493|300493187|316632015|347499009|421726465|467064297|467629666|561242694,8876965|12298253|58440120|41688573|7244189|30313895|56909176|62094851|16464694|16138828|30866994|74227456|45337832|565369|93613028|2273826,10506593:1|1398914:1|15021773:1|909314:1|43127078:1|56909176:1|157863335:1|62039821:1|62094851:1|207994:1|1154755:1|34353227:1|26779278:1|6668079:1|93613028:1|12566829:1|6732424:1|42112763:1|222237854:1|18148402:1|12188178:1|28356487:1|8442926:1|23681389:1|41673219:1|22252271:1|44274976:1|74227456:1|10692766:1|28502899:1|61054791:1|26693255:1
0,1,128,0.0001220703125,0,0.00024412572444520997,6884939|16043037|123201358|133629768|154192250|155064595|157742046|205076242|220019856|255474234|271008152|278855943|286948352|353362537|388806766|408551926,9158098|107158321|10428410|20562482|872345|2677451|47334196|14943614|35454378|15533918|7847791|8092409|66414185|35444229|19745160|2052588,20562482:1|2052588:1|23154658:1|7847791:1|31998496:1|6080690:1|15835050:1|2539969:1|2577705:1|58167645:1|88085923:1|64876396:1|13343290:1|2765925:1|7786241:1|10428410:1|14702849:1|2368154:1|15533918:1|6534667:1|2677451:1|66414185:1|97857729:1|3445462:1|8663163:1|4541270:1|28580023:1|19745160:1|5245991:1|28100137:1|8304000:1|27921899:1
0,1,128,0.0001220703125,0,0.00024412572444520997,106973992|126952104|175554227|217159937|220334926|259123133|285913529|293856233|298037210|389110418|465499463|479907859|488695973|504573786|519760902|603790432,19978112|48602123|41605710|3174989|38788207|26790396|7942704|4180977|91073208|76389045|14408396|8788114|15877813|15187116|84029530|72024124,20059603:1|17218874:1|88895609:1|15652149:1|8788114:1|5087239:1|84029530:1|6099136:1|137427413:1|54301764:1|69677743:1|21675701:1|30330834:1|6527897:1|14408396:1|13081280:1|19254478:1|5429814:1|363906:1|120031323:1|59327722:1|48602123:1|42974093:1|10614346:1|119255737:1|4180977:1|79871297:1|91073208:1|71370030:1|29366400:1|39030319:1|72024124:1
0,1,128,0.0001220703125,0,0.00024412572444520997,6194513|136786557|155698569|179739724|252669186|286580720|382671812|388788747|419449465|439041556|449287294|503666302|514079468|516061178|541999528|655690040,130592044|18912012|24041155|72929462|33911534|96091092|6116935|30660718|19592091|10245738|54379008|10413166|1981710|25938350|113690512|20266191,3131251:1|8800049:1|1981710:1|12275529:1|5054802:1|43120290:1|14276147:1|12987153:1|1001350:1|5893088:1|21607376:1|8493558:1|17803869:1|30644284:1|34354885:1|20266191:1|86767632:1|10289159:1|10245738:1|45042813:1|31937445:1|96091092:1|2714181:1|106813680:1|101831883:1|743541:1|25523037:1|33482248:1|46165057:1|72929462:1|61008013:1|41515088:1
0,1,128,0.0001220703125,0,0.00024412572444520997,34756713|38640724|115395274|131357546|165616885|171870995|206463271|217945004|236636298|259735366|266880929|274969498|279501801|438199784|523274436|523723504,3884011|76754550|15962272|34259339|6254110|34592276|11481733|18691294|23099068|7145563|8088569|4532303|158697983|85074652|449068|8298773,44158062:1|34592276:1|7069681:1|23392359:1|11549585:1|15088285:1|102578889:1|40435845:1|59575074:1|2128823:1|11664048:1|6956921:1|68994209:1|5668826:1|6988999:1|30760585:1|14452589:1|85074652:1|34087569:1|49102207:1|8088569:1|41072169:1|28684551:1|18921884:1|26218186:1|28113081:1|39472375:1|19614795:1|59232148:1|44984863:1|73026355:1|96335752:1
0,1,128,0.0001220703125,0,0.00024412572444520997,28324008|154453595|166016425|216149595|219090499|220481860|267960097|269425504|283434921|335931419|344796567|382980854|409741345|431210757|467016379|476204678,126129587|11562830|50133170|2940904|1391361|47478237|1465407|14009417|52496498|8865148|38184287|26760491|21469412|35805622|9188299|32679116,79802837:1|14915834:1|17917095:1|20644847:1|2805157:1|7436484:1|12057063:1|61069972:1|87159202:1|30727157:1|46265295:1|7609019:1|50133170:1|35805622:1|26760491:1|48132913:1|94843888:1|62348035:1|11402230:1|32679116:1|22123659:1|13630557:1|1465407:1|104423504:1|102474559:1|8175212:1|101014674:1|12761648:1|14009417:1|9782977:1|40149431:1|9536799:1
0,1,128,0.0001220703125,0,0.00024412572444520997,10150299|33181508|46297546|61084123|82146080|191147725|240703022|405458191|419421574|441966058|448427715|487257282|493052253|529641594|616714960|679250929,23031209|13116038|14786577|21061957|109001645|49555297|164755169|13963383|22544484|6461657|38829567|5794971|36589341|87073366|62535969|95798048,21061957:1|11093629:1|10123109:1|83357135:1|62535969:1|43820112:1|10810681:1|27513795:1|12674405:1|6185411:1|56208326:1|41354076:1|83305330:1|421227:1|87073366:1|169916:1|151388:1|56077622:1|9631438:1|37649367:1|33194015:1|20661032:1|71085379:1|38263943:1|16603815:1|44000675:1|60999082:1|1624:1|5841902:1|3141541:1|78487865:1|131970071:1
